datetime,temperature_C,humidity_%,wind_speed_mps,cloud_cover_%,solar_radiation_Wm2,carbon_intensity_actual,carbon_intensity_forecast,carbon_index,electricity_value
2025-10-20 00:00:00,14.4,82,14.1,82,0.0,161,170,moderate,2796
2025-10-20 01:00:00,14.0,83,9.4,100,0.0,161,170,moderate,2884
2025-10-20 02:00:00,13.9,87,9.4,85,0.0,161,170,moderate,4880
2025-10-20 03:00:00,13.9,87,8.0,100,0.0,161,170,moderate,3006
2025-10-20 04:00:00,13.9,90,8.7,100,0.0,161,170,moderate,4545
2025-10-20 05:00:00,14.3,88,11.5,100,0.0,161,170,moderate,19436
2025-10-20 06:00:00,13.7,90,6.8,100,0.0,161,170,moderate,1373
2025-10-20 07:00:00,13.6,87,11.2,100,0.5,161,170,moderate,2416
2025-10-20 08:00:00,13.8,86,9.0,100,12.0,161,170,moderate,19180
2025-10-20 09:00:00,14.1,85,11.9,90,42.8,161,170,moderate,18908
2025-10-20 10:00:00,14.6,83,13.6,100,59.2,161,170,moderate,1716
2025-10-20 11:00:00,14.9,82,11.2,100,124.8,161,170,moderate,167
2025-10-20 12:00:00,15.2,78,17.6,100,58.8,161,170,moderate,1912
2025-10-20 13:00:00,15.1,76,15.1,100,73.0,161,170,moderate,2073
2025-10-20 14:00:00,15.7,69,17.9,100,144.0,161,170,moderate,179
2025-10-20 15:00:00,15.3,76,13.6,98,84.5,161,170,moderate,2388
2025-10-20 16:00:00,15.1,75,14.3,100,64.0,161,170,moderate,190
2025-10-20 17:00:00,14.8,80,13.4,100,8.8,161,170,moderate,2705
2025-10-20 18:00:00,14.6,82,11.7,100,0.0,161,170,moderate,2836
2025-10-20 19:00:00,14.5,82,14.4,100,0.0,161,170,moderate,200
2025-10-20 20:00:00,14.3,84,15.5,95,0.0,161,170,moderate,3132
2025-10-20 21:00:00,13.9,85,16.8,89,0.0,161,170,moderate,3179
2025-10-20 22:00:00,13.7,85,15.7,100,0.0,161,170,moderate,268
2025-10-20 23:00:00,13.7,84,15.6,100,0.0,161,170,moderate,3019
2025-10-21 00:00:00,13.6,82,15.6,100,0.0,161,170,moderate,2923
2025-10-21 01:00:00,13.2,83,15.0,88,0.0,161,170,moderate,243
2025-10-21 02:00:00,12.9,85,13.5,86,0.0,161,170,moderate,2594
2025-10-21 03:00:00,12.5,87,13.4,76,0.0,161,170,moderate,206
2025-10-21 04:00:00,12.4,87,13.7,88,0.0,161,170,moderate,2144
2025-10-21 05:00:00,12.5,83,14.2,70,0.0,161,170,moderate,2144
2025-10-21 06:00:00,12.5,83,12.6,83,0.0,161,170,moderate,2144
2025-10-21 07:00:00,12.1,86,12.0,71,3.8,161,170,moderate,2144
2025-10-21 08:00:00,12.1,85,17.7,97,64.8,161,170,moderate,2144
2025-10-21 09:00:00,12.8,82,14.3,98,116.5,161,170,moderate,2144
2025-10-21 10:00:00,13.2,82,16.0,99,94.0,161,170,moderate,2144
2025-10-21 11:00:00,14.4,75,15.5,99,172.5,161,170,moderate,2144
2025-10-21 12:00:00,15.6,68,15.9,75,206.8,161,170,moderate,2144
2025-10-21 13:00:00,16.1,64,16.9,100,196.8,161,170,moderate,2144
2025-10-21 14:00:00,15.9,68,15.1,92,82.5,161,170,moderate,2144
2025-10-21 15:00:00,16.0,70,15.4,81,122.0,161,170,moderate,2144
2025-10-21 16:00:00,15.8,68,16.7,65,98.2,161,170,moderate,2144
2025-10-21 17:00:00,15.1,69,16.6,73,28.5,161,170,moderate,2144
2025-10-21 18:00:00,14.4,70,15.8,64,0.0,161,170,moderate,2144
2025-10-21 19:00:00,13.7,73,14.4,50,0.0,161,170,moderate,2144
2025-10-21 20:00:00,13.1,78,14.7,78,0.0,161,170,moderate,2144
2025-10-21 21:00:00,12.6,81,12.9,77,0.0,161,170,moderate,2144
2025-10-21 22:00:00,12.1,83,11.8,79,0.0,161,170,moderate,2144
2025-10-21 23:00:00,11.7,83,10.3,59,0.0,161,170,moderate,2144
2025-10-22 00:00:00,11.2,87,10.1,100,0.0,161,170,moderate,2144
2025-10-22 01:00:00,10.9,88,9.0,100,0.0,161,170,moderate,2144
2025-10-22 02:00:00,10.7,89,8.5,100,0.0,161,170,moderate,2144
2025-10-22 03:00:00,10.4,90,8.1,87,0.0,161,170,moderate,2144
2025-10-22 04:00:00,10.1,91,7.8,63,0.0,161,170,moderate,2144
2025-10-22 05:00:00,9.8,92,7.3,100,0.0,161,170,moderate,2144
2025-10-22 06:00:00,9.6,93,6.7,100,0.0,161,170,moderate,2144
2025-10-22 07:00:00,9.5,92,6.2,98,3.2,161,170,moderate,2144
2025-10-22 08:00:00,9.9,89,5.6,97,58.2,161,170,moderate,2144
2025-10-22 09:00:00,10.8,84,5.6,91,144.0,161,170,moderate,2144
2025-10-22 10:00:00,11.8,80,6.4,90,211.0,161,170,moderate,2144
2025-10-22 11:00:00,12.8,76,6.9,88,281.0,161,170,moderate,2144
2025-10-22 12:00:00,13.7,71,7.1,96,283.0,161,170,moderate,2144
2025-10-22 13:00:00,14.3,68,6.9,100,252.0,161,170,moderate,2144
2025-10-22 14:00:00,14.4,67,5.4,100,163.0,161,170,moderate,2144
2025-10-22 15:00:00,14.5,69,5.9,100,129.0,161,170,moderate,2144
2025-10-22 16:00:00,14.1,77,6.0,100,39.0,161,170,moderate,2144
2025-10-22 17:00:00,13.4,85,6.8,100,4.0,161,170,moderate,2144
2025-10-22 18:00:00,12.7,91,8.6,100,0.0,161,170,moderate,2144
2025-10-22 19:00:00,12.4,94,9.9,100,0.0,161,170,moderate,2144
2025-10-22 20:00:00,12.3,94,14.1,100,0.0,161,170,moderate,2144
2025-10-22 21:00:00,12.3,93,14.3,100,0.0,161,170,moderate,2144
2025-10-22 22:00:00,12.3,92,13.0,99,0.0,161,170,moderate,2144
2025-10-22 23:00:00,12.2,91,12.1,100,0.0,161,170,moderate,2144
2025-10-23 00:00:00,11.9,90,10.5,100,0.0,161,170,moderate,2144
2025-10-23 01:00:00,11.7,90,9.6,100,0.0,161,170,moderate,2144
2025-10-23 02:00:00,11.4,89,11.0,100,0.0,161,170,moderate,2144
2025-10-23 03:00:00,10.5,88,7.4,100,0.0,161,170,moderate,2144
2025-10-23 04:00:00,10.4,90,8.4,100,0.0,161,170,moderate,2144
2025-10-23 05:00:00,10.2,92,6.8,100,0.0,161,170,moderate,2144
2025-10-23 06:00:00,10.0,92,8.3,100,0.0,161,170,moderate,2144
2025-10-23 07:00:00,9.9,91,8.1,100,1.0,161,170,moderate,2144
2025-10-23 08:00:00,9.8,88,9.8,100,14.0,161,170,moderate,2144
2025-10-23 09:00:00,9.9,87,12.6,100,38.0,161,170,moderate,2144
2025-10-23 10:00:00,9.7,82,15.5,100,75.0,161,170,moderate,2144
2025-10-23 11:00:00,9.8,80,16.9,100,108.0,161,170,moderate,2144
2025-10-23 12:00:00,9.6,82,18.9,100,70.0,161,170,moderate,2144
2025-10-23 13:00:00,10.1,78,19.2,95,80.0,161,170,moderate,2144
2025-10-23 14:00:00,10.8,73,18.5,89,87.0,161,170,moderate,2144
2025-10-23 15:00:00,11.2,69,17.7,84,85.0,161,170,moderate,2144
2025-10-23 16:00:00,10.9,65,16.3,89,67.0,161,170,moderate,2144
2025-10-23 17:00:00,10.3,61,14.8,95,23.0,161,170,moderate,2144
2025-10-23 18:00:00,9.7,59,14.1,100,0.0,161,170,moderate,2144
2025-10-23 19:00:00,9.3,61,14.0,84,0.0,161,170,moderate,2144
2025-10-23 20:00:00,9.0,65,14.5,68,0.0,161,170,moderate,2144
2025-10-23 21:00:00,8.6,69,15.3,52,0.0,161,170,moderate,2144
2025-10-23 22:00:00,8.3,71,16.2,45,0.0,161,170,moderate,2144
2025-10-23 23:00:00,7.9,71,17.4,37,0.0,161,170,moderate,2144
2025-10-24 00:00:00,7.6,72,18.2,30,0.0,161,170,moderate,2144
2025-10-24 01:00:00,7.5,72,18.5,53,0.0,161,170,moderate,2144
2025-10-24 02:00:00,7.4,72,18.5,77,0.0,161,170,moderate,2144
2025-10-24 03:00:00,7.3,72,18.9,100,0.0,161,170,moderate,2144
2025-10-24 04:00:00,7.2,73,19.4,100,0.0,161,170,moderate,2144
2025-10-24 05:00:00,7.2,74,19.6,100,0.0,161,170,moderate,2144
2025-10-24 06:00:00,7.3,74,20.4,100,0.0,161,170,moderate,2144
2025-10-24 07:00:00,7.5,73,21.3,95,7.0,161,170,moderate,2144
2025-10-24 08:00:00,8.0,71,22.1,90,64.0,161,170,moderate,2144
2025-10-24 09:00:00,8.5,68,23.3,85,146.0,161,170,moderate,2144
2025-10-24 10:00:00,9.4,62,25.3,81,242.0,161,170,moderate,2144
2025-10-24 11:00:00,10.4,55,27.4,76,342.0,161,170,moderate,2144
2025-10-24 12:00:00,11.1,51,28.5,72,388.0,161,170,moderate,2144
2025-10-24 13:00:00,11.0,52,27.7,79,339.0,161,170,moderate,2144
2025-10-24 14:00:00,10.6,57,26.3,85,236.0,161,170,moderate,2144
2025-10-24 15:00:00,10.2,61,24.5,92,139.0,161,170,moderate,2144
2025-10-24 16:00:00,9.9,63,22.7,86,66.0,161,170,moderate,2144
2025-10-24 17:00:00,9.7,65,20.5,80,14.0,161,170,moderate,2144
2025-10-24 18:00:00,9.4,67,19.1,74,0.0,161,170,moderate,2144
2025-10-24 19:00:00,9.0,68,18.0,66,0.0,161,170,moderate,2144
2025-10-24 20:00:00,8.5,70,17.7,59,0.0,161,170,moderate,2144
2025-10-24 21:00:00,8.1,71,16.9,51,0.0,161,170,moderate,2144
2025-10-24 22:00:00,7.6,72,16.2,49,0.0,161,170,moderate,2144
2025-10-24 23:00:00,7.1,74,15.5,48,0.0,161,170,moderate,2144
2025-10-25 00:00:00,6.7,75,14.8,46,0.0,161,170,moderate,2144
2025-10-25 01:00:00,6.5,76,14.4,50,0.0,161,170,moderate,2144
2025-10-25 02:00:00,6.4,78,14.4,55,0.0,161,170,moderate,2144
2025-10-25 03:00:00,6.3,79,14.4,59,0.0,161,170,moderate,2144
2025-10-25 04:00:00,6.2,80,14.0,55,0.0,161,170,moderate,2144
2025-10-25 05:00:00,6.2,80,13.7,51,0.0,161,170,moderate,2144
2025-10-25 06:00:00,6.1,80,13.3,47,0.0,161,170,moderate,2144
2025-10-25 07:00:00,7.1,76,9.3,14,6.0,161,170,moderate,2144
2025-10-25 08:00:00,7.2,78,10.5,22,84.0,161,170,moderate,2144
2025-10-25 09:00:00,7.5,77,11.9,29,189.0,161,170,moderate,2144
2025-10-25 10:00:00,8.4,71,14.1,46,273.0,161,170,moderate,2144
2025-10-25 11:00:00,9.6,62,16.3,63,330.0,161,170,moderate,2144
2025-10-25 12:00:00,10.4,56,18.2,80,351.0,161,170,moderate,2144
2025-10-25 13:00:00,10.8,54,18.0,83,335.0,161,170,moderate,2144
2025-10-25 14:00:00,10.8,55,16.8,86,286.0,161,170,moderate,2144
2025-10-25 15:00:00,10.6,57,15.5,89,211.0,161,170,moderate,2144
2025-10-25 16:00:00,10.1,60,14.3,70,115.0,161,170,moderate,2144
2025-10-25 17:00:00,9.3,63,12.9,51,28.0,161,170,moderate,2144
2025-10-25 18:00:00,8.6,67,11.8,32,0.0,161,170,moderate,2144
2025-10-25 19:00:00,8.0,70,10.9,31,0.0,161,170,moderate,2144
2025-10-25 20:00:00,7.5,74,10.6,31,0.0,161,170,moderate,2144
2025-10-25 21:00:00,7.0,77,10.1,30,0.0,161,170,moderate,2144
2025-10-25 22:00:00,6.5,80,9.8,22,0.0,161,170,moderate,2144
2025-10-25 23:00:00,6.0,83,9.4,15,0.0,161,170,moderate,2144
2025-10-26 00:00:00,5.6,85,9.1,7,0.0,161,170,moderate,2144
2025-10-26 01:00:00,5.3,87,8.3,14,0.0,161,170,moderate,2144
2025-10-26 02:00:00,5.0,89,7.4,20,0.0,161,170,moderate,2144
2025-10-26 03:00:00,4.7,90,6.6,27,0.0,161,170,moderate,2144
2025-10-26 04:00:00,4.3,92,5.8,29,0.0,161,170,moderate,2144
2025-10-26 05:00:00,4.0,93,5.4,32,0.0,161,170,moderate,2144
2025-10-26 06:00:00,4.0,93,5.0,34,0.0,161,170,moderate,2144
2025-10-26 07:00:00,4.3,92,5.4,31,5.0,161,170,moderate,2144
2025-10-26 08:00:00,4.8,89,5.9,28,78.0,161,170,moderate,2144
2025-10-26 09:00:00,5.7,84,6.7,25,183.0,161,170,moderate,2144
2025-10-26 10:00:00,7.0,75,7.9,17,284.0,161,170,moderate,2144
2025-10-26 11:00:00,8.6,64,8.9,8,372.0,161,170,moderate,2144
2025-10-26 12:00:00,9.7,56,10.3,0,422.0,161,170,moderate,2144
2025-10-26 13:00:00,10.2,52,11.8,6,420.0,161,170,moderate,2144
2025-10-26 14:00:00,10.3,49,12.8,13,368.0,161,170,moderate,2144
2025-10-26 15:00:00,10.1,50,12.8,19,271.0,161,170,moderate,2144
2025-10-26 16:00:00,9.6,54,10.6,44,141.0,161,170,moderate,2144
2025-10-26 17:00:00,8.9,61,7.0,69,30.0,161,170,moderate,2144
2025-10-26 18:00:00,8.2,67,5.4,94,0.0,161,170,moderate,2144
2025-10-26 19:00:00,7.8,70,5.4,84,0.0,161,170,moderate,2144
2025-10-26 20:00:00,7.4,71,6.1,75,0.0,161,170,moderate,2144
2025-10-26 21:00:00,7.0,73,6.5,65,0.0,161,170,moderate,2144
2025-10-26 22:00:00,6.6,76,6.6,75,0.0,161,170,moderate,2144
2025-10-26 23:00:00,6.2,78,6.5,86,0.0,161,170,moderate,2144
